run,burst,level,fpga,channel,peak,over_thr,peak_space,peak_time,1st_sample,2nd_sample,3rd_sample,4th_sample,5th_sample,timestamp
6235.0,41446,l1,PP2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,6.0,7.0,5.0,80000275.0
6235.0,41446,l1,PP2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,14.0,17.0,80000314.0
6235.0,41446,l1,PP2,1.0,2.0,1.0,1.0,1.0,0.0,4.0,14.0,17.0,12.0,80000315.0
6235.0,41446,l1,PP2,1.0,3.0,1.0,1.0,0.0,0.0,10.0,13.0,8.0,1.0,80000316.0
6235.0,41446,l1,PP2,1.0,4.0,1.0,1.0,1.0,0.0,2.0,5.0,7.0,5.0,80000448.0
6235.0,41446,l1,PP2,1.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,12.0,80000518.0
6235.0,41446,l1,PP2,1.0,6.0,1.0,1.0,1.0,0.0,2.0,8.0,13.0,12.0,80000519.0
6235.0,41446,l1,PP2,1.0,7.0,1.0,1.0,0.0,0.0,6.0,11.0,10.0,5.0,80000520.0
6235.0,41446,l1,PP2,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,14.0,80000556.0
6235.0,41446,l1,PP2,1.0,9.0,1.0,1.0,1.0,0.0,0.0,7.0,14.0,11.0,80000557.0
6235.0,41446,l1,PP2,1.0,10.0,1.0,1.0,0.0,0.0,7.0,14.0,11.0,5.0,80000558.0
6235.0,41446,l1,PP2,1.0,11.0,1.0,1.0,1.0,0.0,0.0,4.0,6.0,5.0,80000566.0
6235.0,41446,l1,PP2,1.0,12.0,1.0,1.0,1.0,0.0,1.0,3.0,8.0,7.0,80000646.0
6235.0,41446,l1,PP2,1.0,13.0,1.0,1.0,0.0,0.0,2.0,7.0,6.0,4.0,80000647.0
6235.0,41446,l1,PP2,1.0,14.0,1.0,1.0,0.0,0.0,1.0,4.0,14.0,18.0,80000728.0
6235.0,41446,l1,PP2,1.0,15.0,1.0,1.0,1.0,0.0,3.0,13.0,17.0,12.0,80000729.0
6235.0,41446,l1,PP2,1.0,16.0,1.0,1.0,0.0,0.0,10.0,14.0,9.0,4.0,80000730.0
6235.0,41446,l1,PP2,1.0,17.0,1.0,1.0,1.0,0.0,0.0,2.0,6.0,4.0,80000752.0
6235.0,41446,l1,PP2,1.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,13.0,80000822.0
6235.0,41446,l1,PP2,1.0,19.0,1.0,1.0,1.0,0.0,0.0,7.0,13.0,10.0,80000823.0
6235.0,41446,l1,PP2,1.0,20.0,1.0,1.0,0.0,0.0,7.0,13.0,10.0,3.0,80000824.0
6235.0,41446,l1,PP2,1.0,21.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,12.0,80000833.0
6235.0,41446,l1,PP2,1.0,22.0,1.0,1.0,1.0,0.0,0.0,5.0,11.0,10.0,80000834.0
6235.0,41446,l1,PP2,1.0,23.0,1.0,1.0,0.0,0.0,5.0,11.0,10.0,4.0,80000835.0
6235.0,41446,l1,PP2,1.0,24.0,1.0,1.0,0.0,0.0,1.0,2.0,6.0,10.0,80000910.0
6235.0,41446,l1,PP2,1.0,25.0,1.0,1.0,1.0,0.0,1.0,5.0,9.0,7.0,80000911.0
6235.0,41446,l1,PP2,1.0,26.0,1.0,1.0,0.0,0.0,4.0,8.0,6.0,2.0,80000912.0
6235.0,41446,l1,PP2,1.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,31.0,80001068.0
6235.0,41446,l1,PP2,1.0,28.0,1.0,1.0,0.0,0.0,0.0,11.0,34.0,41.0,80001069.0
6235.0,41446,l1,PP2,1.0,29.0,1.0,1.0,1.0,0.0,11.0,34.0,41.0,25.0,80001070.0
6235.0,41446,l1,PP2,1.0,30.0,1.0,1.0,0.0,0.0,23.0,30.0,14.0,0.0,80001071.0
6235.0,41446,l1,PP2,1.0,31.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,12.0,80001231.0
6235.0,41446,l1,PP2,1.0,32.0,1.0,1.0,1.0,0.0,0.0,7.0,13.0,10.0,80001232.0
6235.0,41446,l1,PP2,1.0,33.0,1.0,1.0,0.0,0.0,7.0,13.0,10.0,5.0,80001233.0
6235.0,41446,l1,PP2,1.0,34.0,1.0,1.0,0.0,0.0,0.0,1.0,21.0,63.0,80001412.0
6235.0,41446,l1,PP2,1.0,35.0,1.0,1.0,0.0,0.0,1.0,21.0,63.0,73.0,80001413.0
6235.0,41446,l1,PP2,1.0,36.0,1.0,1.0,1.0,0.0,20.0,62.0,72.0,47.0,80001414.0
6235.0,41446,l1,PP2,1.0,37.0,1.0,1.0,0.0,0.0,42.0,52.0,27.0,0.0,80001415.0
6235.0,41446,l1,PP2,1.0,38.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,10.0,80001432.0
6235.0,41446,l1,PP2,1.0,39.0,1.0,1.0,1.0,0.0,2.0,9.0,11.0,8.0,80001433.0
6235.0,41446,l1,PP2,1.0,40.0,1.0,1.0,0.0,0.0,7.0,9.0,6.0,0.0,80001434.0
6235.0,41446,l1,PP2,1.0,41.0,1.0,1.0,1.0,0.0,1.0,5.0,7.0,5.0,80001731.0
6235.0,41446,l1,PP2,1.0,42.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,81.0,80001961.0
6235.0,41446,l1,PP2,1.0,43.0,1.0,1.0,0.0,0.0,0.0,23.0,81.0,100.0,80001962.0
6235.0,41446,l1,PP2,1.0,44.0,1.0,1.0,1.0,0.0,23.0,81.0,100.0,67.0,80001963.0
6235.0,41446,l1,PP2,1.0,45.0,1.0,1.0,0.0,0.0,58.0,77.0,44.0,5.0,80001964.0
6235.0,41446,l1,PP2,1.0,46.0,1.0,1.0,1.0,0.0,0.0,3.0,6.0,5.0,80002033.0
6235.0,41446,l1,PP2,1.0,47.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,9.0,80002118.0
6235.0,41446,l1,PP2,1.0,48.0,1.0,1.0,1.0,0.0,0.0,7.0,10.0,6.0,80002119.0
6235.0,41446,l1,PP2,1.0,49.0,1.0,1.0,0.0,0.0,7.0,10.0,6.0,0.0,80002120.0
6235.0,41446,l1,PP2,1.0,50.0,1.0,1.0,1.0,0.0,1.0,4.0,6.0,2.0,80002130.0
6235.0,41446,l1,PP2,1.0,51.0,1.0,1.0,0.0,0.0,0.0,1.0,11.0,24.0,80002196.0
6235.0,41446,l1,PP2,1.0,52.0,1.0,1.0,1.0,0.0,1.0,11.0,24.0,22.0,80002197.0
6235.0,41446,l1,PP2,1.0,53.0,1.0,1.0,0.0,0.0,10.0,23.0,21.0,11.0,80002198.0
6235.0,41446,l1,PP2,1.0,54.0,1.0,1.0,0.0,0.0,1.0,1.0,7.0,15.0,80002240.0
6235.0,41446,l1,PP2,1.0,55.0,1.0,1.0,1.0,0.0,0.0,6.0,14.0,14.0,80002241.0
6235.0,41446,l1,PP2,1.0,56.0,1.0,1.0,1.0,0.0,6.0,14.0,14.0,7.0,80002242.0
6235.0,41446,l1,PP2,1.0,57.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,15.0,80002465.0
6235.0,41446,l1,PP2,1.0,58.0,1.0,1.0,0.0,0.0,0.0,5.0,14.0,16.0,80002466.0
6235.0,41446,l1,PP2,1.0,59.0,1.0,1.0,1.0,0.0,5.0,14.0,16.0,11.0,80002467.0
6235.0,41446,l1,PP2,1.0,60.0,1.0,1.0,0.0,0.0,9.0,11.0,6.0,0.0,80002468.0
6235.0,41446,l1,PP2,1.0,61.0,1.0,1.0,0.0,0.0,1.0,3.0,26.0,50.0,80002577.0
6235.0,41446,l1,PP2,1.0,62.0,1.0,1.0,1.0,0.0,2.0,25.0,49.0,44.0,80002578.0
6235.0,41446,l1,PP2,1.0,63.0,1.0,1.0,0.0,0.0,23.0,47.0,42.0,19.0,80002579.0
6235.0,41446,l1,PP2,1.0,64.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,8.0,80002760.0
6235.0,41446,l1,PP2,1.0,65.0,1.0,1.0,1.0,0.0,1.0,6.0,8.0,5.0,80002761.0
6235.0,41446,l1,PP2,1.0,66.0,1.0,1.0,0.0,0.0,0.0,2.0,9.0,12.0,80002913.0
6235.0,41446,l1,PP2,1.0,67.0,1.0,1.0,1.0,0.0,2.0,9.0,12.0,8.0,80002914.0
6235.0,41446,l1,PP2,1.0,68.0,1.0,1.0,0.0,0.0,7.0,10.0,6.0,1.0,80002915.0
6235.0,41446,l1,PP2,1.0,69.0,1.0,1.0,1.0,0.0,0.0,4.0,7.0,7.0,80003036.0
6235.0,41446,l1,PP2,1.0,70.0,1.0,1.0,1.0,0.0,4.0,7.0,7.0,3.0,80003037.0
6235.0,41446,l1,PP2,1.0,71.0,1.0,1.0,0.0,0.0,1.0,5.0,29.0,44.0,80003156.0
6235.0,41446,l1,PP2,1.0,72.0,1.0,1.0,1.0,0.0,4.0,28.0,43.0,33.0,80003157.0
6235.0,41446,l1,PP2,1.0,73.0,1.0,1.0,0.0,0.0,24.0,39.0,29.0,11.0,80003158.0
6235.0,41446,l1,PP2,1.0,74.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,17.0,80003164.0
6235.0,41446,l1,PP2,1.0,75.0,1.0,1.0,1.0,0.0,0.0,8.0,18.0,16.0,80003165.0
6235.0,41446,l1,PP2,1.0,76.0,1.0,1.0,0.0,0.0,8.0,18.0,16.0,9.0,80003166.0
6235.0,41446,l1,PP2,1.0,77.0,1.0,1.0,1.0,0.0,2.0,6.0,8.0,5.0,80003215.0
6235.0,41446,l1,PP2,1.0,78.0,1.0,1.0,0.0,0.0,0.0,2.0,14.0,24.0,80003245.0
6235.0,41446,l1,PP2,1.0,79.0,1.0,1.0,1.0,0.0,2.0,14.0,24.0,19.0,80003246.0
6235.0,41446,l1,PP2,1.0,80.0,1.0,1.0,0.0,0.0,12.0,22.0,17.0,6.0,80003247.0
6235.0,41446,l1,PP2,1.0,81.0,1.0,1.0,1.0,0.0,1.0,3.0,8.0,7.0,80003422.0
6235.0,41446,l1,PP2,1.0,82.0,1.0,1.0,0.0,0.0,2.0,7.0,6.0,3.0,80003423.0
6235.0,41446,l1,PP2,1.0,83.0,1.0,1.0,1.0,0.0,0.0,4.0,9.0,6.0,80003504.0
6235.0,41446,l1,PP2,1.0,84.0,1.0,1.0,0.0,0.0,5.0,10.0,7.0,1.0,80003505.0
6235.0,41446,l1,PP2,1.0,85.0,1.0,1.0,1.0,0.0,2.0,5.0,6.0,3.0,80003706.0
6235.0,41446,l1,PP2,1.0,86.0,1.0,1.0,0.0,0.0,0.0,5.0,11.0,12.0,80003827.0
6235.0,41446,l1,PP2,1.0,87.0,1.0,1.0,1.0,0.0,5.0,11.0,12.0,8.0,80003828.0
6235.0,41446,l1,PP2,1.0,88.0,1.0,1.0,1.0,0.0,2.0,5.0,8.0,6.0,80003971.0
6235.0,41446,l1,PP2,1.0,89.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,25.0,80003989.0
6235.0,41446,l1,PP2,1.0,90.0,1.0,1.0,0.0,0.0,0.0,7.0,25.0,29.0,80003990.0
6235.0,41446,l1,PP2,1.0,91.0,1.0,1.0,1.0,0.0,8.0,26.0,30.0,19.0,80003991.0
6235.0,41446,l1,PP2,1.0,92.0,1.0,1.0,0.0,0.0,18.0,22.0,11.0,0.0,80003992.0
6235.0,41446,l1,PP2,1.0,93.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,8.0,80004090.0
6235.0,41446,l1,PP2,1.0,94.0,1.0,1.0,1.0,0.0,1.0,6.0,8.0,6.0,80004091.0
